dataset,algorithm,n,repetitions,avg_us,median_us,avg_char_comparisons,avg_char_inspections
reversed,ternary_string_quicksort,2200,7,1180.443,1074.100,20121.000,21811.000
reversed,lcp_string_mergesort,2200,7,87913.100,80224.900,8613.000,17226.000
reversed,msd_radix_sort,2200,7,9667.000,9188.000,0.000,10568.000
reversed,msd_radix_sort_with_switch,2200,7,1252.400,1187.800,8048.000,14031.000
reversed,standard_quicksort,2300,7,17072.771,16945.400,294366.000,588732.000
reversed,standard_mergesort,2300,7,2543.900,1860.100,20866.000,41732.000
reversed,ternary_string_quicksort,2300,7,996.200,884.400,21141.000,22923.000
reversed,lcp_string_mergesort,2300,7,87975.557,83340.900,9062.000,18124.000
reversed,msd_radix_sort,2300,7,15511.014,14668.400,0.000,11064.000
reversed,msd_radix_sort_with_switch,2300,7,1581.986,1217.100,8424.000,14681.000
reversed,standard_quicksort,2400,7,627236.371,584542.700,318746.000,637492.000
reversed,standard_mergesort,2400,7,1951.771,1904.800,22152.000,44304.000
reversed,ternary_string_quicksort,2400,7,1976.243,1188.600,22170.000,24013.000
reversed,lcp_string_mergesort,2400,7,98031.871,93963.500,9572.000,19144.000
reversed,msd_radix_sort,2400,7,420633.929,415010.900,0.000,11564.000
reversed,msd_radix_sort_with_switch,2400,7,2845.886,1993.500,8829.000,15364.000
reversed,standard_quicksort,2500,7,633404.529,616029.200,339285.000,678570.000
reversed,standard_mergesort,2500,7,2284.600,2235.200,23031.000,46062.000
reversed,ternary_string_quicksort,2500,7,1463.443,1264.800,23323.000,25252.000
reversed,lcp_string_mergesort,2500,7,88219.657,88591.400,9853.000,19706.000
reversed,msd_radix_sort,2500,7,405577.443,393918.800,0.000,12062.000
reversed,msd_radix_sort_with_switch,2500,7,2505.300,2016.100,9185.000,15991.000
reversed,standard_quicksort,2600,7,587993.529,587112.300,362619.000,725238.000
reversed,standard_mergesort,2600,7,2481.886,2294.900,24084.000,48168.000
reversed,ternary_string_quicksort,2600,7,1353.657,1110.900,24758.000,26767.000
reversed,lcp_string_mergesort,2600,7,83264.586,83910.800,10324.000,20648.000
reversed,msd_radix_sort,2600,7,413176.029,413833.300,0.000,12540.000
reversed,msd_radix_sort_with_switch,2600,7,2043.357,1982.800,9582.000,16661.000
reversed,standard_quicksort,2700,7,592682.629,594971.600,383095.000,766190.000
reversed,standard_mergesort,2700,7,2395.214,2192.400,25280.000,50560.000
reversed,ternary_string_quicksort,2700,7,1605.843,1373.500,25668.000,27763.000
reversed,lcp_string_mergesort,2700,7,83852.400,78619.100,10829.000,21658.000
reversed,msd_radix_sort,2700,7,408528.157,381744.800,0.000,13020.000
reversed,msd_radix_sort_with_switch,2700,7,2069.014,1741.000,9958.000,17308.000
reversed,standard_quicksort,2800,7,637760.771,628531.500,405485.000,810970.000
reversed,standard_mergesort,2800,7,2402.714,2242.700,26395.000,52790.000
reversed,ternary_string_quicksort,2800,7,1420.371,1402.200,26704.000,28848.000
reversed,lcp_string_mergesort,2800,7,86336.371,86358.000,11344.000,22688.000
reversed,msd_radix_sort,2800,7,344168.657,346855.900,0.000,13482.000
reversed,msd_radix_sort_with_switch,2800,7,2173.143,1923.600,10317.000,17933.000
reversed,standard_quicksort,2900,7,600793.600,602470.000,430911.000,861822.000
reversed,standard_mergesort,2900,7,2243.071,2136.900,27244.000,54488.000
reversed,ternary_string_quicksort,2900,7,1623.771,1601.300,27983.000,30228.000
reversed,lcp_string_mergesort,2900,7,100091.957,96039.600,11577.000,23154.000
reversed,msd_radix_sort,2900,7,362178.086,351580.400,0.000,13976.000
reversed,msd_radix_sort_with_switch,2900,7,1985.371,1891.800,10691.000,18580.000
reversed,standard_quicksort,3000,7,598709.529,590905.500,449833.000,899666.000
reversed,standard_mergesort,3000,7,3144.243,2538.300,28066.000,56132.000
reversed,ternary_string_quicksort,3000,7,1444.157,1234.000,28826.000,31124.000
reversed,lcp_string_mergesort,3000,7,104505.586,106730.700,11862.000,23724.000
reversed,msd_radix_sort,3000,7,329332.586,333795.300,0.000,14484.000
reversed,msd_radix_sort_with_switch,3000,7,2495.143,2471.700,11082.000,19245.000
almost_sorted,standard_quicksort,100,7,193.629,193.600,14310.000,28620.000
almost_sorted,standard_mergesort,100,7,62.543,43.500,707.000,1414.000
almost_sorted,ternary_string_quicksort,100,7,34.729,30.200,536.000,617.000
almost_sorted,lcp_string_mergesort,100,7,1045.986,630.500,387.000,774.000
almost_sorted,msd_radix_sort,100,7,217.614,187.400,0.000,508.000
almost_sorted,msd_radix_sort_with_switch,100,7,128.243,82.100,364.000,640.000
almost_sorted,standard_quicksort,200,7,1851.071,1276.400,27858.000,55716.000
almost_sorted,standard_mergesort,200,7,216.429,156.700,1422.000,2844.000
almost_sorted,ternary_string_quicksort,200,7,137.786,127.400,1279.000,1448.000
almost_sorted,lcp_string_mergesort,200,7,2525.829,1188.000,737.000,1474.000
almost_sorted,msd_radix_sort,200,7,483.971,365.900,0.000,1002.000
